"REF_DATE","GEO","DGUID","Age of mother","Marital status of mother","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401358","1.3.2.2","83.4","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, married","Number of live births","Number","223","units","0","v21401359","1.3.3.1","3513","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401360","1.3.3.2","14.5","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401361","1.3.4.1","5","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401362","1.3.4.2","0.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401363","1.3.5.1","17","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401364","1.3.5.2","0.1","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401365","1.3.6.1","9","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401366","1.3.6.2","0.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401367","1.3.7.1","480","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 15 to 19 years","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401368","1.3.7.2","2.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Total, marital status of mother","Number of live births","Number","223","units","0","v21401369","1.4.1.1","80724","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401370","1.4.1.2","100.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401371","1.4.2.1","33979","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401372","1.4.2.2","42.1","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 20 to 24 years","Marital status of mother, married","Number of live births","Number","223","units","0","v21401373","1.4.3.1","44488","","","","0"
